journal_clean,year
ABC Bourse,2019
ABC Bourse,2019
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2019
ABC Bourse,2020
ABC Bourse,2020
Votre argent,2016
ABC Bourse,2020
ABC Bourse,2019
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2019
ABC Bourse,2019
ABC Bourse,2020
ABC Bourse,2019
ABC Bourse,2019
ABC Bourse,2019
ABC Bourse,2019
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2019
ABC Bourse,2020
ABC Bourse,2019
ABC Bourse,2019
ABC Bourse,2019
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2020
ABC Bourse,2019
Trading Sat,2011
ABC Bourse,2020
Cercle Finance,2013
Votre argent,2016
Cercle Finance,2013
Le Télégramme Bretagne,2018
Rue89,2016
L'Indépendant,2020
L'Indépendant,2020
L'Indépendant,2020
L'Indépendant,2020
L'Indépendant,2020
Mieux Vivre Votre Argent,2017
La Vie Immo,2016
La Vie Immo,2016
La Vie Immo,2013
L'Indépendant,2019
Courrier international,2012
Courrier international,2012
Courrier international,2011
Courrier international,2011
Courrier international,2011
Courrier international,2014
Courrier international,2012
Courrier international,2014
Le Monde,2015
Courrier international,2013
Courrier international,2014
Courrier international,2012
Courrier international,2014
Courrier international,2015
Courrier international,2014
Courrier international,2014
Courrier international,2014
Le Télégramme Bretagne,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2020
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
Le Journal du Centre,2012
L'Indépendant,2019
L'Indépendant,2020
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
L'Indépendant,2019
Sciences et Avenir,2019
Challenges,2017
Courrier international,2011
Le Monde,2015
Courrier international,2013
Mieux Vivre Votre Argent,2017
20 Minutes,2017
Courrier international,2012
Le Monde,2018
Le Télégramme Bretagne,2014
Le Quotidien du Médecin,2020
Le Quotidien du Médecin,2020
Reuters général,2018
L'Est Républicain,2012
L'Est Républicain,2012
L'Est Républicain,2012
L'Est Républicain,2012
L'Est Républicain,2012
L'Est Républicain,2012
Reuters économique,2018
Reuters économique,2018
Reuters économique,2016
L'Express Styles,2015
Le Figaro Magazine,2019
Process Alimentaire,2020
La Lettre de l'Expansion,2018
Midi Libre,2012
Mesures,2015
Mesures,2015
Le Télégramme Bretagne,2020
La Lettre d'écoNormandieToutes éditions,2015
Les Echos,2020
L'AGEFI,2015
Banques des Particuliers,2017
L'Est Républicain,2020
Le Figaro,2018
Technologies Bancaires,2015
Mesures,2016
Le Progrès Lyon,2014
Libération,2019
Mesures,2018
La Voix du NordToutes éditions,2016
La Voix du NordToutes éditions,2019
L'Obs,2017
Centre Presse Vienne,2016
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2018
Centre Presse Vienne,2019
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2018
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2019
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2018
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2017
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2017
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2019
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2016
Centre Presse Vienne,2018
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2015
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2018
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2017
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2016
Centre Presse Vienne,2019
Centre Presse Vienne,2015
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2017
Reuters général,2019
Reuters général,2019
Reuters économique,2018
Reuters économique,2019
Courrier international,2015
La Voix du NordToutes éditions,2017
Courrier international,2020
La Voix du NordCambrai,2020
Midi Libre,2019
La Voix du NordToutes éditions,2019
La Voix du NordToutes éditions,2019
La Voix du NordToutes éditions,2019
Stratégies,2018
Le Figaro,2017
Le Figaro,2019
L'Observatoire des Produits Bancaires,2018
Le Figaro,2018
Business Immo,2017
Le Figaro,2019
Le Figaro,2017
L'AGEFI,2018
Marketing France,2019
La Nouvelle République du Centre OuestDEUX SEVRES,2014
Stratégies,2017
Le Figaro,2018
Stratégies,2019
Le Figaro,2019
Stratégies,2019
Stratégies,2018
Stratégies,2018
Stratégies,2018
Stratégies,2019
Le Figaro,2018
Business Immo,2017
Stratégies,2020
Stratégies,2019
Le Parisien,2014
Le Parisien,2014
Le Parisien,2014
Le Parisien,2014
01 net,2018
Challenges,2018
Sciences et Avenir,2018
01 net,2019
Les Echos,2020
Les Echos,2020
Les Echos,2019
Les Echos,2017
Les Echos,2017
Option Finance,2016
Option Finance,2018
Option Finance,2019
Option Finance,2019
Les Echos,2020
01 net,2017
Option Finance,2020
Option Finance,2018
Option Finance,2020
Option Finance,2018
Option Finance,2019
La Revue de l'Alimentation Animale,2019
La Revue de l'Alimentation Animale,2019
Option Finance,2019
Option Finance,2019
Option Finance,2018
Option Finance,2017
Option Finance,2020
Option Finance,2017
Option Finance,2019
Option Finance,2017
Option Finance,2018
Option Finance,2018
Action Co,2017
Option Finance,2020
01 net,2020
La Recherche,2016
Sud Ouest,2019
L'Argus de l'assurance,2019
La Tribune,2018
La Dépêche du MidiAriège,2019
Stratégies,2012
Les Echos,2018
Les Echos,2018
L'Indépendant,2016
Le Point,2012
Le Télégramme Bretagne,2020
La Tribune,2017
Stratégies,2017
Stratégies,2017
Pèlerin,2018
La Tribune,2018
La Tribune,2017
Sud Ouest,2018
L'Obs,2017
Chef d'Entreprise,2017
Stratégies,2020
La Tribune,2018
La Tribune,2018
L'Express,2019
Sciences et Avenir,2020
Sud Ouest,2019
Sud Ouest,2019
Le Figaro,2015
Le Monde,2020
01 net Hors série,2019
Industrie et Technologies,2016
Bus et Car Connexion,2020
La Tribune,2017
La Tribune,2014
Le Télégramme Bretagne,2020
Aujourd'hui en FranceEdition Principale,2019
Courrier picardHaute Somme,2018
01 net Hors série,2019
Sud Ouest,2018
La Tribune,2014
Libération,2020
Sud Ouest,2019
Les Echos,2011
Le Figaro Magazine,2020
La Tribune,2016
La Tribune,2017
La Tribune,2017
La Tribune,2017
La Tribune,2017
Sud Ouest,2017
Sud Ouest,2018
Stratégies,2018
Sciences et Avenir,2019
Sciences et Avenir,2018
Sciences et Avenir,2020
Le Particulier Pratique,2017
Air et Cosmos,2020
Le Figaro,2019
Le Journal de Saône et LoireLons,2018
Le Télégramme BretagneLORIENT,2018
Le Télégramme BretagneSAINT BRIEUC,2016
La Tribune,2017
Le Figaro,2015
Revue Lamy Droit de l'immatériel,2021
Technologies Bancaires,2017
La Tribune,2019
Le Point,2011
Le Télégramme Bretagne,2019
Stratégies,2016
Industrie et Technologies,2020
Le Télégramme Bretagne,2019
Challenges,2017
Le Parisien,2019
L'Obs,2019
Les Echos,2017
Le Journal du Net JDN,2020
Le Télégramme Bretagne,2019
Atlantico,2015
Les Echos,2018
Les Echos,2017
La Tribune,2019
Libération,2016
La Tribune,2019
01 net,2020
Revue Lamy Droit de l'immatériel,2018
La Croix,2011
Le Journal de la Maison,2019
La Tribune,2016
Les Echos,2020
Le Bien Public,2019
Option Finance,2018
Les Echos,2019
Centre Presse AveyronAVEYRONNAIS,2019
Le Parisien,2020
Les Echos,2020
L'Est Républicain,2019
L'Obs,2019
La Tribune,2015
IT for Business,2020
Reuters économique,2016
Option Finance,2019
L'Usine Nouvelle,2020
Option Finance,2017
La Tribune,2017
Le Progrès Lyon,2017
Les Echos,2019
Les Echos,2019
L'Obs,2019
Le Bien Public,2019
Diapason,2020
Marketing France,2019
Télé Magazine,2018
Télé Magazine,2018
Télé Magazine,2018
Option Finance,2019
Option Finance,2019
Challenges,2019
Bus et Car Connexion,2019
L'Usine Nouvelle,2017
Ouest France,2011
Ouest France,2018
La Nouvelle République du Centre Ouest,2017
Option Finance,2017
Stratégies,2016
Option Finance,2017
Boursier,2017
L'Éclaireur du GâtinaisSeine et Marne,2019
Midi Libre,2016
L'Usine Nouvelle,2020
Emerce,2019
Reuters général,2019
Option Finance,2019
Le Magazine Littéraire,2017
Option Finance,2016
Ouest France,2014
ElectroniqueS,2020
L'Usine Nouvelle,2017
Les Cahiers de Science et Vie,2020
Chef d'Entreprise,2016
IT for Business,2019
La Tribune,2013
Télérama,2018
Option Finance,2019
Sciences et Avenir,2018
Option Finance,2019
Sud Ouest,2011
Capital Finance,2018
La Tribune,2017
L'Argus de l'assurance,2020
Reuters économique,2018
Reuters général,2018
La Montagne,2017
TV Mag,2016
Liaisons sociales Europe,2019
Liaisons sociales Europe,2019
L'Obs,2019
Reuters économique,2019
Option Finance,2018
L'Usine Nouvelle,2017
01 net,2020
Option Finance,2018
Sud Ouest,2019
Option Finance,2016
Le Figaro Étudiant,2015
Le Télégramme Bretagne,2020
Les Echos,2016
La Tribune,2018
Sud Ouest,2012
Centre Presse Vienne,2015
La Correspondance de la Presse,2016
Liaisons sociales Europe,2018
Reuters économique,2017
Le Télégramme Bretagne,2020
Marketing France,2019
Le Figaro,2016
Ouest France,2019
Midi Libre,2017
Ouest France,2018
Les Echos,2018
Le Figaro,2019
Challenges,2016
L'Union FranceL'Union Ardennes,2020
Artisans Mag',2020
L'Union FranceChalons,2017
L'Union FranceL'Union Ardennes,2017
L'Union FranceLaon,2020
Boursier,2019
Nord ÉclairToutes éditions,2015
Nord Littoral,2018
Le Télégramme Bretagne,2019
Centre Presse AveyronRODEZ_CP,2020
La Dépêche du MidiToulouse; Muret,2018
Courrier picardCompiègne,2015
01 net,2016
La République des Pyrénées,2012
L'Union FranceVitry,2018
La Recherche,2016
La Recherche,2016
La Lettre de l'Expansion,2018
IT for Business,2018
Capital Finance,2018
La Tribune,2017
Le Journal du CentreNièvre,2017
Sciences et Avenir,2018
CosmétiqueMag,2019
La Tribune,2017
IT for Business,2018
IT for Business,2018
Aujourd'hui en FranceEdition Principale,2018
Aujourd'hui en FranceEdition Principale,2016
Aujourd'hui en FranceEdition Principale,2018
Aujourd'hui en FranceEdition Principale,2016
Option Finance,2017
Option Finance,2018
La Provence,2016
L'Obs,2020
Sciences et Avenir,2018
Décideurs Magazine,2019
Le Monde,2018
Le Monde,2017
Le Télégramme Bretagne,2014
La Tribune,2019
Paris Match,2018
La Croix,2013
Les Carnets de la Philosophie,2011
Télérama,2020
GreenUnivers,2012
Le Monde,2013
Le Monde,2013
Le Monde,2013
Le Monde,2013
Le Monde,2013
Le Monde,2014
Le Journal des entreprises,2014
Le Journal des entreprises,2014
Le Journal des entreprises,2014
Le Télégramme Bretagne,2014
Le Télégramme Bretagne,2014
Le Télégramme Bretagne,2014
Le Journal des entreprises,2014
Le Journal des entreprises,2014
Le Télégramme Bretagne,2014
Le Télégramme Bretagne,2014
Le Télégramme Bretagne,2014
Le Télégramme Bretagne,2014
Le Télégramme Bretagne,2014
Le Journal des entreprises,2014
Le Télégramme Bretagne,2014
Le Télégramme Bretagne,2014
L'Express,2014
La Tribune,2019
La Tribune,2015
Silicon,2019
L'Usine Nouvelle,2016
L'Usine Nouvelle,2016
Le Figaro,2017
La Tribune,2018
Les Echos,2017
La Tribune,2017
Les Echos,2017
Le Monde,2019
Les Echos,2018
Marketing France,2017
Néorestauration,2019
Challenges,2020
20 Minutes,2011
IT for Business,2020
Le Figaro,2019
Paris Normandie,2015
La Dépêche du MidiToulouse,2016
Libération,2019
Aujourd'hui en FranceEdition Principale,2018
Protection sociale Informations,2017
Aujourd'hui en FranceEdition Principale,2018
Aujourd'hui en FranceEdition Principale,2017
Option Finance,2020
Option Finance,2018
Marketing France,2017
IT for Business,2018
Aujourd'hui en FranceEdition Principale,2018
L'Argus de l'assurance,2019
TéléObs,2020
Reuters général,2015
Reuters économique,2019
Option Finance,2018
La Dépêche du MidiGers,2017
L'Obs,2020
Le Progrès Lyon,2013
Le Progrès Lyon,2013
Option Finance,2016
Midi Libre,2013
IT for Business,2019
Midi Libre,2016
Reuters économique,2018
Option Finance,2018
Option Finance,2018
L'Argus de l'assurance,2019
Option Finance,2017
L'Express,2018
Courrier picardRégion d'Amiens,2018
Le Télégramme Bretagne,2019
L'Union FranceL'Ardennais,2018
Marketing France,2018
Option Finance,2019
Les Echos,2018
Ouest France,2017
Le Télégramme Bretagne,2015
Option Finance,2018
Option Finance,2019
Option Finance,2019
L'Express,2018
Ouest France,2012
Air et Cosmos,2018
Télérama,2014
Télérama,2019
DAF Mag,2019
Relation Client,2020
Ouest France,2020
La Voix du NordToutes éditions,2020
La Provence,2018
La Tribune,2018
L'Argus de l'assurance,2019
Stratégies,2016
Reuters général,2014
Sciences et Avenir,2017
Sciences et Avenir,2017
Capital Finance,2018
L'Indépendant,2017
L'Est Républicain,2017
Bus et Car Connexion,2019
La Tribune,2019
Le Progrès de FécampPays de Caux; Grand Rouen Elbeuf; Dieppe Pays de Bray; Le Havre; Eure; France; Eure; Pays de Caux; Grand Rouen Elbeuf; Dieppe Pays de Bray; Le Havre; Eure; France; Eure; Pays de Caux; Grand Rouen Elbeuf; Dieppe Pays de Bray; Le Havre; Eure; France; Eure,2017
Bus et Car Connexion,2018
L'Est Républicain,2016
La Dépêche du MidiGers,2019
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2020
L'Usine Nouvelle,2020
Le Journal de l'Automobile,2018
Le Progrès Lyon,2018
Ouest France,2016
L'Usine Nouvelle,2020
IT for Business,2019
Relation Client,2020
Action Co,2018
Artisans,2018
Capital Finance,2018
Capital Finance,2018
Capital Finance,2020
Reuters économique,2017
Science et Vie Junior,2020
La Correspondance de la Publicité,2020
L'Usine Nouvelle,2017
Action Co,2019
Le Progrès de FécampLe Havre; Pays de Caux; Dieppe Pays de Bray; Grand Rouen Elbeuf; Eure; Eure; France; Le Havre; Pays de Caux; Dieppe Pays de Bray; Grand Rouen Elbeuf; Eure; Eure; France; Le Havre; Pays de Caux; Dieppe Pays de Bray; Grand Rouen Elbeuf; Eure; Eure; France; Le Havre; Pays de Caux; Dieppe Pays de Bray; Grand Rouen Elbeuf; Eure; Eure; France; Le Havre; Pays de Caux; Dieppe Pays de Bray; Grand Rouen Elbeuf; Eure; Eure; France,2018
Le Télégramme Bretagne,2016
Le Télégramme BretagneQUIMPERLE,2016
Le Télégramme Bretagne,2016
Génie Climatique,2020
L'Usine Nouvelle,2017
Décision Achats,2020
La Nouvelle République des PyrénéesTarbes,2019
Ouest France,2016
Ouest France,2016
Courrier international,2018
Le Point,2018
Nord ÉclairRoubaix,2016
La Dépêche du MidiGÉNÉRAL,2019
Relation Client,2020
IT for Business,2019
Néorestauration,2016
Le Monde,2012
Reuters économique,2017
Télérama,2013
Le Particulier Pratique,2017
News Assurances Pro,2018
Sciences et Avenir,2017
Sciences et Avenir,2019
Sciences et Avenir,2017
Décision Achats,2018
La Dépêche du MidiToulouse; Muret,2018
Centre Presse Vienne,2019
La Nouvelle République du Centre OuestDEUX SEVRES,2019
Bus et Car Connexion,2019
L'Yonne républicaineNord; Sud,2019
Sciences et Avenir,2017
Challenges,2019
Le Télégramme Bretagne,2018
IT for Business,2019
La Montagne,2012
Ouest France,2019
Relation Client,2017
IT for Business,2018
Le Magazine Littéraire,2016
Le Magazine Littéraire,2016
Libération,2017
Libération,2017
Le Point,2017
Micro Hebdo,2011
IT for Business,2019
Presse Océan,2019
Bus et Car Connexion,2019
Challenges,2020
Relation Client,2020
La Dépêche du MidiToulouse,2018
La Tribune,2016
L'Obs,2018
Télé Magazine,2019
Télé Magazine,2020
Télé Magazine,2020
Télé Magazine,2020
Télé Magazine,2019
Télé Magazine,2019
Le Journal de Saône et LoireLons,2017
Décideurs Magazine Site web,2019
Stratégies – Le 13H,2020
Paris Normandie,2018
La Correspondance de la Publicité,2019
Technologies Bancaires,2018
E Commerce,2020
Le Journal de Saône et Loire,2019
Aujourd'hui en France,2015
Le Parisien,2015
Reuters général,2017
Le Point,2016
Chef d'Entreprise,2017
Télé Magazine,2018
Ouest France,2018
Le Quotidien du Médecin,2018
IT for Business,2020
Le Point,2020
La Tribune,2019
Décision Achats,2018
01 net,2020
Reuters économique,2019
Reuters général,2016
Le Monde,2014
Science et Vie Junior,2020
L'Indépendant,2018
Stratégies,2015
Atlantico,2014
La Provence,2020
L'Echo républicain,2018
NewsPressançais,2015
La Provence,2016
Le Monde,2018
Reuters général,2018
Sciences et Avenir,2015
Relation Client,2019
Sud Ouest,2016
Le Point,2016
Aujourd'hui en France,2017
Sciences et Avenir,2019
La Nouvelle République du Centre OuestINDRE ET LOIRE,2020
La Nouvelle République du Centre Ouest,2017
Centre Presse Vienne,2016
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2017
Centre Presse Vienne,2019
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2020
Centre Presse Vienne,2020
Libération,2014
ToulÉco,2020
La Nouvelle République du Centre OuestLOIR ET CHER,2019
La Nouvelle République du Centre OuestINDRE ET LOIRE,2016
La Nouvelle République du Centre OuestINDRE ET LOIRE,2020
Challenges,2019
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2018
La Nouvelle République du Centre OuestINDRE ET LOIRE,2018
La Nouvelle République du Centre Ouest,2019
La Nouvelle République du Centre OuestINDRE ET LOIRE,2011
ToulÉco,2020
ToulÉco,2016
La Nouvelle République du Centre Ouest,2016
Centre Presse Vienne,2016
La Nouvelle République du Centre OuestLOIR ET CHER,2017
La Nouvelle République du Centre OuestINDRE ET LOIRE,2019
La Tribune,2019
Centre Presse Vienne,2017
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2017
Centre Presse Vienne,2018
ToulÉco,2018
ToulÉco,2018
ElectroniqueS,2018
Centre Presse Vienne,2018
Les Echos,2018
Centre Presse Vienne,2018
ToulÉco,2019
La Nouvelle République du Centre OuestINDRE ET LOIRE,2019
La Nouvelle République du Centre OuestDEUX SEVRES,2018
La Nouvelle République du Centre Ouest,2019
ToulÉco,2017
ToulÉco,2018
Centre Presse Vienne,2020
ToulÉco,2019
ToulÉco,2019
ToulÉco,2018
Centre Presse Vienne,2018
ToulÉco,2017
La Nouvelle République Dimanche,2012
ToulÉco,2019
ToulÉco,2015
Centre Presse Vienne,2018
La Nouvelle République du Centre OuestLOIR ET CHER,2018
Relation Client,2016
ToulÉco,2019
ToulÉco,2016
ToulÉco,2017
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2017
ToulÉco,2018
La Nouvelle République du Centre OuestINDRE,2011
ToulÉco,2018
Centre Presse Vienne,2019
ElectroniqueS,2019
ElectroniqueS,2018
La Nouvelle République du Centre OuestINDRE ET LOIRE,2020
La Nouvelle République du Centre Ouest,2018
Centre Presse Vienne,2018
La Nouvelle République du Centre OuestINDRE ET LOIRE,2017
Centre Presse Vienne,2020
ToulÉco,2017
La Nouvelle République du Centre OuestLOIR ET CHER,2019
Centre Presse Vienne,2017
La Nouvelle République du Centre OuestLOIR ET CHER,2018
ToulÉco,2018
La Nouvelle République du Centre Ouest,2012
La Nouvelle République du Centre Ouest,2012
Centre Presse Vienne,2019
La Nouvelle République du Centre OuestINDRE ET LOIRE,2018
Centre Presse Vienne,2019
ToulÉco,2015
La Nouvelle République du Centre OuestINDRE,2020
La Nouvelle République du Centre OuestDEUX SEVRES,2018
Marketing France,2017
La Nouvelle République du Centre OuestDEUX SEVRES,2016
La Nouvelle République du Centre OuestDEUX SEVRES,2018
La Tribune,2018
Relation Client,2016
Relation Client,2016
Relation Client,2016
Marketing France,2017
Marketing France,2018
Marketing France,2018
Marketing France,2017
Marketing France,2017
Stratégies,2020
Marketing France,2018
Marketing France,2017
Challenges,2019
Marketing France,2017
Marketing France,2017
Marketing France,2017
Air et Cosmos,2020
Marketing France,2017
Marketing France,2017
Marketing France,2017
Le Figaro,2015
Télérama,2015
Le Télégramme Bretagne,2014
Les Echos,2015
Les Echos,2017
Les Echos,2017
Les Echos,2013
L'Usine Nouvelle,2020
L'Usine Nouvelle,2019
L'Usine Nouvelle,2018
L'Usine Nouvelle,2019
Le Journal du Net JDN,2019
L'Express,2016
Marketing France,2018
Le Monde,2020
Lintern@ute,2019
Lintern@ute,2019
La Tribune,2017
La Tribune,2018
L'Usine Nouvelle,2019
L'Usine Nouvelle,2018
L'Usine Nouvelle,2018
L'Usine Nouvelle,2019
L'Usine Nouvelle,2019
L'Usine Nouvelle,2019
L'Usine Nouvelle,2019
L'Usine Nouvelle,2019
Le Monde,2018
News Assurances Pro,2017
News Assurances Pro,2017
News Assurances Pro,2017
News Assurances Pro,2017
La Tribune,2017
Sud Ouest,2012
Le Journal du Net JDN,2020
Stratégies,2016
Le Populaire du CentreLimoges; Haute Vienne,2016
La République du Centre,2016
Charente LibreToutes,2018
Boursier,2018
Rue89,2016
Le Figaro Étudiant,2015
Courrier international,2019
Libération,2018
Le Monde,2016
L'Express,2019
L'AGEFI,2020
Les Echos,2016
Le Monde,2015
Les Echos,2019
Les Echos,2020
Manière de voir,2014
Paris Match,2020
LSA,2019
Les Echos,2016
Les Echos,2018
L'Indépendant,2018
Les Echos,2018
Les Echos,2018
Libération,2015
La Tribune,2016
LSA,2020
ElectroniqueS,2020
Option Finance,2018
Boursier,2020
ChannelBiz,2019
Les Echos,2019
Courrier international,2015
Libération,2018
La Tribune,2019
Les Echos,2020
Les Echos,2016
Les Echos,2015
JournalAuto,2018
L'Express,2019
Les Echos,2018
Les Echos,2018
Les Echos,2018
Sports,2019
Les Echos,2018
Le Monde,2019
Charente LibreToutes,2011
ElectroniqueS,2020
L'Express,2019
Le Courrier de l'OuestNord Anjou; Angers,2018
E Commerce,2018
Challenges,2019
IT for Business,2016
Stratégies,2016
Charente LibreToutes,2020
TOM,2019
Paris Normandie,2014
Les Echos,2020
L'Usine Nouvelle,2020
Paris Match,2019
Les Echos,2018
La Tribune,2018
Centre Presse Vienne,2018
Le Journal du Net JDN,2019
Le Monde,2018
Le Monde,2018
Investir Le Journal des finances,2019
Les Echos,2018
Les Echos,2019
Le Monde,2017
L'Obs,2020
La Dépêche du MidiToulouse,2019
Les Echos,2016
mind Fintech,2020
Le Point,2015
Investir Le Journal des finances,2016
La Tribune,2019
Le Journal du Net JDN,2019
L'Usine Nouvelle,2017
L'AGEFI,2018
Les Echos,2019
Les Echos,2020
L'Usine Nouvelle,2019
La Matinale du Monde,2019
Les Echos,2018
LSA,2019
L'Usine Nouvelle,2019
Libération,2019
L'Usine Nouvelle,2019
Les Echos,2019
L'Usine Nouvelle,2019
Les Echos,2018
JournalAuto,2017
JournalAuto,2016
Le Moniteur des Travaux Publics et du Bâtiment,2018
Silicon,2018
Intelligence Onlineançais,2020
La Lettre de l'audiovisuel,2019
L'Indépendant,2013
La Dépêche du MidiGers,2018
Les Echos,2016
L'Argus de l'assurance,2020
Capital Finance,2019
L'Usine Nouvelle,2020
Le Figaro,2017
L'AGEFI,2016
L'AGEFI,2020
L'Usine Nouvelle,2019
Le Journal du Net JDN,2019
L'Usine Nouvelle,2019
L'Usine Nouvelle,2017
Air et Cosmos,2019
Boursier,2020
L'AGEFI,2018
Mind,2016
Boursier,2016
Mind Fintech,2017
Tour Hebdo,2017
L'Usine Nouvelle,2019
Le Journal du Net JDN,2019
L'Usine Nouvelle,2019
Air et Cosmos,2018
Libération,2018
LSA,2019
ToulÉco,2018
Le Progrès Lyon,2018
L'Usine Nouvelle,2019
L'Usine Nouvelle,2020
LSA,2017
Cercle Finance,2017
L'AGEFI,2019
L'Usine Nouvelle,2020
L'Usine Nouvelle,2017
mind Fintech,2018
L'Usine Nouvelle,2019
La Dépêche du MidiGÉNÉRAL,2019
Actualités Sociales Hebdo,2018
La Tribune,2017
Atlantico,2020
Mind Fintech,2018
Le Parisien,2020
LSA,2020
L'Usine Nouvelle,2015
Cercle Finance,2018
La Lettre de l'audiovisuel,2020
La Dépêche du MidiSud Est,2017
TOM,2019
L'AGEFI,2018
LSA,2017
L'Usine Nouvelle,2019
LSA,2020
LSA,2019
Le Journal du Net JDN,2019
TOM,2019
TOM,2020
TOM,2020
LSA,2017
Air et Cosmos,2019
Action Co,2017
L'Usine Nouvelle,2017
L'Usine Nouvelle,2019
Cercle Finance,2018
Industrie et Technologies,2016
LSA,2018
L'Usine Nouvelle,2019
L'Usine Nouvelle,2019
L'Usine Nouvelle,2019
L'Usine Nouvelle,2018
L'Usine Nouvelle,2017
Air et Cosmos,2019
Cercle Finance,2020
RiskAssur,2019
WK RH,2018
Midi Libre,2013
Les Echos,2018
Le Monde,2019
Le Monde,2019
Capital Finance,2017
Capital Finance,2017
Capital Finance,2020
La Tribune,2018
L'Obs,2019
Le Moniteur des Travaux Publics et du Bâtiment,2012
RiskAssur,2017
La Tribune,2020
La Tribune,2020
L'Usine Nouvelle,2016
Les Echos,2018
L'Usine Nouvelle,2018
Les Echos,2019
Les Echos,2016
Les Echos,2017
Les Echos,2017
L'Usine Nouvelle,2016
Emballages magazine,2016
La Lettre de l'Expansion,2018
L'Express,2020
L'Express,2020
Capital Finance,2019
Le Monde,2018
Le Télégramme Bretagne,2016
L'Obs,2020
IT for Business,2018
L'Usine Nouvelle,2018
Financement des Particuliers,2017
News Assurances Pro,2020
Les Echos,2018
Le Monde,2016
Industrie et Technologies,2019
Les Echos,2015
L'AGEFI,2017
Mind Fintech,2017
Libération,2017
Mind,2016
Libération,2018
Libération,2019
Le Parisien,2017
L'Usine Nouvelle,2019
Intelligence Onlineançais,2020
E marketing,2019
L'Usine Nouvelle,2018
La Nouvelle République du Centre OuestINFORMATIONS GENERALES,2015
La Tribune,2018
Stratégies,2017
LSA,2019
ElectroniqueS,2018
Le Journal de l'Automobile,2018
La Nouvelle République du Centre Ouest,2016
L'Express,2019
Banques Hebdo,2018
L'Obs,2017
Challenges,2018
Challenges,2017
IT for Business,2018
L'Usine Nouvelle,2020
Industrie et Technologies,2016
IT for Business,2016
L'Usine Nouvelle,2016
Le Monde,2020
Le Monde,2016
Libération,2018
Le Parisien,2016
Le Télégramme Bretagne,2020
ElectroniqueS,2019
L'Usine Nouvelle,2020
L'Expansion,2013
Le Journal du Net JDN,2020
Les Echos,2018
mind Media,2019
mind Fintech,2019
Courrier International,2016
La Nouvelle République du Centre Ouest,2016
IT for Business,2019
La Croix,2018
Les Echos,2013
Les Echos,2013
Ouest France,2019
LSA,2020
Le Point,2013
La Tribune,2019
01 net,2018
Les Echos,2013
La Provence,2012
Nord Littoral,2016
L'Obs,2017
Les Echos,2020
Les Echos,2017
Les Echos,2017
Enjeux Les Echos,2014
Les Echos,2019
L'Indépendant,2017
L'Obs,2019
La Tribune,2014
La Tribune,2017
L'Usine Nouvelle,2020
Télérama,2019
Les Echos,2016
Le Monde,2014
L'Obs,2020
Les Echos,2019
L'Obs,2020
Le Monde,2018
Télérama,2017
Le Point,2019
Le Monde,2019
La Tribune,2019
Sud Ouest,2018
Gestion de Fortune,2020
My Cuisine,2019
Le Point,2018
Les Echos,2013
Capital Finance,2017
Le Point,2017
Les Echos,2014
L'Usine Nouvelle,2019
ElectroniqueS,2019
Courrier picardCompiègne,2017
Capital Finance,2017
Capital Finance,2017
LSA,2020
La Matinale du Monde,2020
ABC Bourse,2020
Les Echos,2017
Les Echos,2018
Tour Hebdo,2016
Deche,2018
Le Journal des Fluides,2019
Le Moniteur des Travaux Publics et du Bâtiment,2019
ElectroniqueS,2018
01 net,2020
L'Obs,2016
Le Progrès Lyon,2016
Courrier international,2020
Le Monde,2014
Le Nouveau Magazine Littéraire,2019
